vin,wmi,make,model,year,plant,region,verified_by,verified_at,source_type,confidence_cap
1HGGH012XFA806259,1HG,Honda,Accord,2015,A,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDMY62R25286172,JTD,Toyota,Camry,2024,5,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THDXN104915,1FA,Ford,F-150,2013,N,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHLG7893RC092930,KMH,Hyundai,Tucson,2024,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW562MM666320,ABM,BMW,5 Series,2021,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDKU40E41944009,JTD,Toyota,Corolla,2014,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6FB6JC789382,AHT,Toyota,Yaris,2018,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1DF34JXF796323,WA1,Audi,Q3,2018,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAUX12N6A638588,WBA,BMW,X5,2022,A,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA123455HF773101,AFA,Ford,Focus,2017,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW348TM484850,ABM,BMW,5 Series,2026,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW129DW007884,ABM,BMW,X3,2013,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7898PB241353,1HG,Honda,HR-V,2023,B,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7893ED453305,1HG,Honda,HR-V,2014,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1DF34K2F850240,WA1,Audi,Q3,2019,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55F9D930391,WA1,Audi,A4,2015,D,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0121DB582929,KMH,Hyundai,Santa Fe,2013,B,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDBR32D65884650,JTD,Toyota,Yaris,2013,5,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB0FB789198,AHT,Toyota,Yaris,2015,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ012XKB935794,KMH,Hyundai,Sonata,2019,B,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4568EB429735,KMH,Hyundai,Santa Fe,2014,B,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGGH0126EC975505,1HG,Honda,Accord,2014,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAK2SLF9N875620,1FA,Ford,Escape,2015,N,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAB3GKE3K530614,1FA,Ford,F-150,2014,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW569LM937761,ABM,BMW,3 Series,2020,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW789XJX484516,AAV,Volkswagen,Golf,2018,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE9JH907845,AFA,Ford,Ranger,2018,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHHY1237SD097438,KMH,Hyundai,i30,2025,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THP0K589200,1FA,Ford,Explorer,2023,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RMA8F683621,1FA,Ford,Escape,2010,F,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4568NA659209,1HG,Honda,Civic,2022,A,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAVW34A1K753330,WBA,BMW,X5,2010,K,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW567SW187182,ABM,BMW,X3,2025,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4564JC624011,KMH,Hyundai,Santa Fe,2018,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDKU40R10331288,JTD,Toyota,Yaris,2024,0,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA678907MF738569,AFA,Ford,Focus,2021,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE2SG818657,AFA,Ford,Focus,2025,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6GBXND132650,AHT,Toyota,Corolla,2022,D,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7892CV924288,AAV,Volkswagen,Polo,2012,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW568PM088759,ABM,BMW,5 Series,2023,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0129HB177200,KMH,Hyundai,i30,2017,B,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAFGH1J3DF535232,AFA,Ford,Focus,2013,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAK2SLF7K071535,1FA,Ford,Escape,2015,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC1DX296845,AAV,Volkswagen,Touran,2013,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1G7T6D8F133159,WA1,Audi,A6,2013,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1235LV504638,AAV,Volkswagen,Tiguan,2020,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB0PC415038,AHT,Toyota,Fortuner,2023,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7890EX153689,AAV,Volkswagen,Golf,2014,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7896PV428772,AAV,Volkswagen,Golf,2023,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RMG4M393984,1FA,Ford,Mustang,2016,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW340JW048107,ABM,BMW,3 Series,2018,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGGH0128LD599994,1HG,Honda,Civic,2020,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ012XLA182064,KMH,Hyundai,Sonata,2020,A,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51M71305118,JTD,Toyota,Camry,2021,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THG9K864747,1FA,Ford,Escape,2016,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE5EF256053,AFA,Ford,Focus,2014,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1DF34J0D844371,WA1,Audi,Q3,2018,D,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA123451KG279903,AFA,Ford,Fiesta,2019,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THM0F636759,1FA,Ford,F-150,2021,F,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC6PX712148,AAV,Volkswagen,Golf,2023,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THR1K596549,1FA,Ford,Mustang,2024,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6DB8MC529198,AHT,Toyota,Yaris,2021,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDMY62L40472594,JTD,Toyota,RAV4,2020,0,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7891FW250360,AAV,Volkswagen,Tiguan,2015,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGAB123XGC679216,1HG,Honda,HR-V,2016,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RME0K999909,1FA,Ford,Explorer,2014,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDBR32TX1189560,JTD,Toyota,Camry,2026,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6GB2RD093882,AHT,Toyota,Hilux,2024,D,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC5CV486111,AAV,Volkswagen,Tiguan,2012,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4562AA136715,1HG,Honda,Accord,2010,A,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHLG7895KB238241,KMH,Hyundai,i30,2019,B,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDMY62M71401802,JTD,Toyota,Yaris,2021,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB1FD660665,AHT,Toyota,Yaris,2015,D,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4564JD267160,1HG,Honda,Accord,2018,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB4BB244177,AHT,Toyota,Fortuner,2011,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA123457MH418588,AFA,Ford,Fiesta,2021,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW128AW722151,ABM,BMW,X3,2010,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA678900TH736648,AFA,Ford,Fiesta,2026,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91R1M513757,WBA,BMW,X3,2024,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THA2K971317,1FA,Ford,Explorer,2010,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAB3GKN7M584666,1FA,Ford,Explorer,2022,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHHY1236HD080302,KMH,Hyundai,Tucson,2017,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0128JD275371,KMH,Hyundai,Santa Fe,2018,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6FB5AC185127,AHT,Toyota,Yaris,2010,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7893FD836839,1HG,Honda,Accord,2015,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB0DB877780,AHT,Toyota,Hilux,2013,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1G7T6H0F885016,WA1,Audi,A4,2017,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW341NM052460,ABM,BMW,X3,2022,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6GB1LC533846,AHT,Toyota,Yaris,2020,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAFGH1J8AG763958,AFA,Ford,Fiesta,2010,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA678905JG336197,AFA,Ford,Everest,2018,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1H8U7A4F853184,WA1,Audi,A6,2010,F,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW784TM474099,ABM,BMW,5 Series,2026,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7894RW555047,AAV,Volkswagen,Touran,2024,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA123450NH798469,AFA,Ford,Focus,2022,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6DBXJD001975,AHT,Toyota,Fortuner,2018,D,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55S0E642180,WA1,Audi,Q5,2025,E,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDBR32A30243875,JTD,Toyota,Camry,2010,0,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW568GB711907,ABM,BMW,X3,2016,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51L35009461,JTD,Toyota,Corolla,2020,5,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51D40378009,JTD,Toyota,RAV4,2013,0,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6GB8BD986421,AHT,Toyota,Corolla,2011,D,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDMY62A96631923,JTD,Toyota,Camry,2010,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7896FC402632,1HG,Honda,Accord,2015,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAEV51BXM209466,WBA,BMW,320i,2011,M,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW128KW128676,ABM,BMW,3 Series,2019,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1230HV132763,AAV,Volkswagen,Tiguan,2017,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGGH0121CC575428,1HG,Honda,CR-V,2012,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB0GB853869,AHT,Toyota,Hilux,2016,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4565JC862489,1HG,Honda,HR-V,2018,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51J41752374,JTD,Toyota,RAV4,2018,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0124CC027398,KMH,Hyundai,i30,2012,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA678902FG259022,AFA,Ford,Focus,2015,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGAB1237DD437862,1HG,Honda,CR-V,2013,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW127EM888758,ABM,BMW,X3,2014,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW4567NX697129,AAV,Volkswagen,Polo,2022,X,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAB3GKL9F615921,1FA,Ford,F-150,2020,F,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAK2SLH4F094474,1FA,Ford,Escape,2017,F,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7896CB097859,1HG,Honda,Civic,2012,B,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THC3F857943,1FA,Ford,Explorer,2012,F,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CBXKD110293,AHT,Toyota,Yaris,2019,D,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6GB5NB361037,AHT,Toyota,Hilux,2022,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THK1M955587,1FA,Ford,Explorer,2019,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4569MC372325,KMH,Hyundai,Tucson,2021,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RMR3M268861,1FA,Ford,Mustang,2024,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7890SD015109,1HG,Honda,HR-V,2025,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6FB2NB787754,AHT,Toyota,Yaris,2022,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDKU40S66870119,JTD,Toyota,RAV4,2025,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFA123457SF929758,AFA,Ford,Focus,2025,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAJ1RMM3M718350,1FA,Ford,F-150,2021,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHHY1239EB796943,KMH,Hyundai,Tucson,2014,B,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAK2SLK5M272376,1FA,Ford,F-150,2019,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGGH0123LC488310,1HG,Honda,HR-V,2020,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGCD4569PC565248,1HG,Honda,CR-V,2023,C,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW129NW977896,ABM,BMW,3 Series,2022,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDBR32S91838302,JTD,Toyota,Corolla,2025,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW786KB316082,ABM,BMW,X3,2019,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE6NF504407,AFA,Ford,Focus,2022,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THA2N204127,1FA,Ford,Escape,2010,N,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC7HW251890,AAV,Volkswagen,Touran,2017,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7890MW158878,AAV,Volkswagen,Tiguan,2021,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1235EW296838,AAV,Volkswagen,Polo,2014,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAK2SLB6K018767,1FA,Ford,F-150,2011,K,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0123BA902285,KMH,Hyundai,Santa Fe,2011,A,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW562HB412351,ABM,BMW,X3,2017,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6CB9ED537517,AHT,Toyota,Corolla,2014,D,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDKU40T41394819,JTD,Toyota,Camry,2026,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0125RB456984,KMH,Hyundai,Tucson,2024,B,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHLG7896BC395352,KMH,Hyundai,Tucson,2011,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAFGH1J7MF591156,AFA,Ford,Fiesta,2021,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBA8A91E8A676009,WBA,BMW,318i,2014,A,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW784KB417685,ABM,BMW,X3,2019,B,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHMZ0124SD026843,KMH,Hyundai,Santa Fe,2025,D,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDKU40F16925302,JTD,Toyota,Corolla,2015,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6FBXBC189983,AHT,Toyota,Fortuner,2011,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THA0F364849,1FA,Ford,Mustang,2010,F,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE6NF701660,AFA,Ford,Everest,2022,F,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAUX12K8A359262,WBA,BMW,320i,2019,A,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THA9F886530,1FA,Ford,Mustang,2010,F,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW568GM437743,ABM,BMW,X3,2016,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW7890MW644185,AAV,Volkswagen,Polo,2021,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THC4M268461,1FA,Ford,Explorer,2012,M,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGAB1237ED378863,1HG,Honda,HR-V,2014,D,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WBAVW34C2K926091,WBA,BMW,320i,2012,K,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC3AV569727,AAV,Volkswagen,Polo,2010,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAABCDE9NH610130,AFA,Ford,Ranger,2022,H,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AHTEB6FB1NC095494,AHT,Toyota,Yaris,2022,C,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AFAFGH1J1FG750184,AFA,Ford,Fiesta,2015,G,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1FAP8THD8F212211,1FA,Ford,Escape,2013,F,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC5DV866096,AAV,Volkswagen,Tiguan,2013,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
ABMBMW780SM008443,ABM,BMW,X3,2025,M,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW4565NW441237,AAV,Volkswagen,Touran,2022,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW1235SW923209,AAV,Volkswagen,Golf,2025,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVW4563CW403647,AAV,Volkswagen,Touran,2012,W,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
1HGEF7890BA424406,1HG,Honda,CR-V,2011,A,USA,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1G7T6B1N140739,WA1,Audi,Q3,2011,N,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
AAVVWABC0LV468843,AAV,Volkswagen,Touran,2020,V,South Africa,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHHY1234FC807830,KMH,Hyundai,i30,2015,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1G7T6RXD268991,WA1,Audi,A4,2024,D,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
KMHKU4566TC710200,KMH,Hyundai,Sonata,2026,C,Korea,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDKU40K41319642,JTD,Toyota,Camry,2019,1,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA1DF34E9E522399,WA1,Audi,Q3,2014,E,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
JTDLX51A36190637,JTD,Toyota,Corolla,2010,6,Japan,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
WA18R55L0E753982,WA1,Audi,A4,2020,E,Germany,SYNTHETIC_DATASET_V1,2026-01-09 02:45:31,SYNTHETIC,75
